,movie,year,People,Food,Costume,Natural_landscape,Human_landscape,Modern_landscape,Language,Ideology\belief,Kung Fu,Folk Art,BGM,Commercial,COVID,Streaming+cinema,Chinese_box_office (million),international_box_office (million),inflation,cpi,douban,iMDb,rotten_tomato,,,
quan,Eternals,2021,华裔,0,0,0,0,None,0,0,0,0,0,0,1,1,"15,984.77","402,049",4.70%,271,5.8,6.4,47%,,,
,Shangchi,2021,华裔,0,1,0,0,Macow,1,0,1,1,0,0,1,1,"13,853.23","432,229",4.70%,271,6.1,7.4,91%,,,
,Dune,2021,中国台湾,0,0,0,0,None,0,0,0,0,0,0,1,1,"48,239.18","399,673",4.70%,271,7.7,8.1,83%,,,
,Mortal Kombat,2021,华裔,0,0,0,0,None,0,0,1,0,0,0,1,1,"1,659.39","83,507",4.70%,271,5.2,6.1,54%,,,
,The Suicide Squid,2021,0,0,0,0,0,None,0,0,0,0,0,0,1,1,"2,235.75","167,118",4.70%,271,8,7.2,90%,,,
,Mulan,2020,华裔,1,1,福建,0,None,1,1 忠孝,1,1,0,0,1,1,"43,387.77","69,922",1.20%,258,4.8,5.7,73%,,,
,Boss Level,2021,华裔,0,0,0,0,None,0,1,1,0,0,0,1,1,-,"1,989",4.70%,271,7,6.8,74%,,,
,Incredible2,2018,0,1,0,0,0,None,0,0,0,0,0,0,0,1,"69,379.10","1,242,736",2.40%,251.1,7.8,7.6,93%,,,
,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,0,0,0,0,0,None,0,0,0,0,0,0,0,1,"48,889.26","529,242",2.40%,251.1,8,7,88%,,,
,Pacific Rim: Uprising,2018,中国,,0,0,0,None,0,0,0,0,0,0,0,1,"107,969.79","290,822",2.40%,251.1,5.4,5.6,42%,,,
Zini,Tomb Raider,2018,华裔（吴彦祖）,0,0,0,0,HK,0,精神传承（坚韧、牺牲、勇于冒险）,1,0,0,0,0,1,78.5,196.15,2.40%,251.1,6,6.3,52%,,,
,Venom,2018,华裔（场景群演）,1,1,0,1（唐人街）,HK,1（普通话）,0,0,0,0,0,0,1,269.2,586.89,2.40%,251.1,7.2,6.6,30%,,,
,Crazy Rich Asians,2018,华裔（杨紫琼）,1,0,0,1（唐人街）,None,1,0,0,1（麻将）,1,0,0,1,1.65,237.19,2.40%,251.1,6,6.9,91%,,,
,The Meg,2018,香港（李冰冰）,1,0,三亚,0,Shanghai ,0,中国式亲情,0,0,0,0,0,1,153.03,377.49,2.40%,251.1,5.7,5.6,45%,,,
